class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,17.23,x,h,o,f,e,,w,17.63,17.92,s,y,w,u,w,t,g,,d,w
p,14.39,x,g,e,f,e,,w,16.98,17.48,s,y,w,u,w,t,p,,d,w
p,15.56,f,g,o,f,e,,w,17.28,16.99,s,y,w,u,w,t,p,,d,u
p,13.2,x,g,o,f,e,,w,16.91,16.9,s,y,w,u,w,t,p,,d,w
p,13.9,f,h,e,f,e,,w,17.81,17.77,s,y,w,u,w,t,g,,d,u
p,16.38,f,g,o,f,e,,w,18.36,17.99,s,y,w,u,w,t,p,,d,u
p,13.3,x,h,e,f,e,,w,17.6,17.52,s,y,w,u,w,t,p,,d,a
p,15.95,f,g,o,f,e,,w,16.42,16.65,s,y,w,u,w,t,g,,d,w
p,16.58,x,g,o,f,e,,w,18.26,18.12,s,y,w,u,w,t,g,,d,a
p,14.1,f,g,o,f,e,,w,16.94,16.76,s,y,w,u,w,t,p,,d,u
p,13.81,f,h,o,f,e,,w,17.22,17.11,s,y,w,u,w,t,g,,d,a
p,14.67,f,h,o,f,e,,w,17.2,16.77,s,y,w,u,w,t,p,,d,a
p,14.23,f,h,e,f,e,,w,17.22,17.23,s,y,w,u,w,t,p,,d,u
p,14.78,f,g,e,f,e,,w,17.44,17.13,s,y,w,u,w,t,p,,d,u
p,15.08,x,g,e,f,e,,w,17.09,17.8,s,y,w,u,w,t,g,,d,w
p,16.0,x,g,e,f,e,,w,16.96,17.22,s,y,w,u,w,t,g,,d,u
p,14.76,f,g,o,f,e,,w,18.14,17.54,s,y,w,u,w,t,p,,d,a
p,14.89,x,g,e,f,e,,w,17.78,18.07,s,y,w,u,w,t,g,,d,w
p,13.05,f,g,e,f,e,,w,17.32,17.17,s,y,w,u,w,t,p,,d,w
p,13.03,f,h,e,f,e,,w,17.05,17.07,s,y,w,u,w,t,p,,d,w
p,14.07,f,g,o,f,e,,w,16.98,17.76,s,y,w,u,w,t,p,,d,w
p,15.09,f,g,o,f,e,,w,17.45,18.15,s,y,w,u,w,t,g,,d,a
p,12.22,f,h,o,f,e,,w,18.19,17.62,s,y,w,u,w,t,g,,d,w
p,15.12,x,g,e,f,e,,w,17.03,17.2,s,y,w,u,w,t,g,,d,a
p,18.04,f,g,e,f,e,,w,18.86,19.79,s,y,w,u,w,t,g,,d,w
p,12.27,f,g,o,f,e,,w,16.15,17.17,s,y,w,u,w,t,g,,d,w
p,16.03,f,g,o,f,e,,w,19.34,19.37,s,y,w,u,w,t,g,,d,u
p,16.51,x,g,o,f,e,,w,18.38,18.29,s,y,w,u,w,t,g,,d,w
p,14.96,f,h,o,f,e,,w,18.26,18.28,s,y,w,u,w,t,p,,d,w
p,15.9,f,h,e,f,e,,w,17.34,17.54,s,y,w,u,w,t,g,,d,w
p,15.48,x,g,e,f,e,,w,19.22,18.14,s,y,w,u,w,t,p,,d,u
p,15.63,f,h,o,f,e,,w,17.72,16.82,s,y,w,u,w,t,g,,d,a
p,14.8,x,g,o,f,e,,w,17.94,17.42,s,y,w,u,w,t,g,,d,w
p,16.0,x,h,o,f,e,,w,17.67,17.96,s,y,w,u,w,t,g,,d,w
p,15.07,f,h,o,f,e,,w,16.97,17.51,s,y,w,u,w,t,g,,d,u
p,13.12,x,h,e,f,e,,w,17.96,17.89,s,y,w,u,w,t,p,,d,a
p,13.82,f,h,o,f,e,,w,16.86,17.14,s,y,w,u,w,t,p,,d,u
p,17.23,x,h,e,f,e,,w,18.51,18.59,s,y,w,u,w,t,g,,d,u
p,12.57,x,g,o,f,e,,w,16.62,15.7,s,y,w,u,w,t,p,,d,a
p,14.85,x,h,o,f,e,,w,17.36,16.46,s,y,w,u,w,t,g,,d,a
p,12.55,x,g,e,f,e,,w,16.97,17.39,s,y,w,u,w,t,g,,d,u
p,13.53,x,g,e,f,e,,w,16.65,16.91,s,y,w,u,w,t,g,,d,a
p,16.84,x,h,e,f,e,,w,17.3,17.27,s,y,w,u,w,t,p,,d,w
p,15.73,x,h,o,f,e,,w,17.58,17.59,s,y,w,u,w,t,p,,d,u
p,11.46,x,h,o,f,e,,w,17.56,18.39,s,y,w,u,w,t,g,,d,w
p,15.06,f,g,o,f,e,,w,15.77,16.1,s,y,w,u,w,t,p,,d,w
p,16.15,x,h,e,f,e,,w,18.25,17.67,s,y,w,u,w,t,p,,d,a
p,13.78,f,h,o,f,e,,w,17.18,17.6,s,y,w,u,w,t,g,,d,w
p,16.77,f,h,e,f,e,,w,18.81,19.23,s,y,w,u,w,t,g,,d,u
p,17.32,f,g,o,f,e,,w,17.67,17.83,s,y,w,u,w,t,g,,d,u
p,18.65,x,h,e,f,e,,w,18.6,19.03,s,y,w,u,w,t,p,,d,u
p,14.11,f,h,e,f,e,,w,16.87,16.23,s,y,w,u,w,t,g,,d,u
p,16.25,f,g,o,f,e,,w,17.32,17.6,s,y,w,u,w,t,p,,d,u
p,13.59,x,g,o,f,e,,w,18.58,18.87,s,y,w,u,w,t,p,,d,w
p,17.3,f,g,o,f,e,,w,17.39,18.35,s,y,w,u,w,t,g,,d,u
p,12.13,f,g,e,f,e,,w,16.66,16.62,s,y,w,u,w,t,p,,d,a
p,12.29,x,h,e,f,e,,w,16.45,15.65,s,y,w,u,w,t,p,,d,a
p,14.74,x,h,o,f,e,,w,16.8,17.46,s,y,w,u,w,t,p,,d,w
p,15.13,f,h,e,f,e,,w,17.81,17.24,s,y,w,u,w,t,p,,d,u
p,13.66,f,g,o,f,e,,w,16.21,16.65,s,y,w,u,w,t,g,,d,u
p,13.3,x,g,e,f,e,,w,17.75,17.19,s,y,w,u,w,t,p,,d,w
p,14.16,f,g,o,f,e,,w,15.26,16.19,s,y,w,u,w,t,g,,d,w
p,16.66,x,h,o,f,e,,w,18.73,18.47,s,y,w,u,w,t,p,,d,a
p,15.55,f,g,e,f,e,,w,17.03,17.84,s,y,w,u,w,t,p,,d,a
p,14.28,f,g,e,f,e,,w,17.55,17.58,s,y,w,u,w,t,p,,d,a
p,16.92,x,g,e,f,e,,w,18.3,18.81,s,y,w,u,w,t,g,,d,w
p,15.55,x,h,e,f,e,,w,16.75,16.97,s,y,w,u,w,t,p,,d,w
p,15.08,x,h,o,f,e,,w,17.51,16.82,s,y,w,u,w,t,p,,d,u
p,12.02,f,g,o,f,e,,w,16.16,16.61,s,y,w,u,w,t,p,,d,a
p,13.69,f,g,e,f,e,,w,16.58,15.84,s,y,w,u,w,t,p,,d,u
p,15.36,f,g,o,f,e,,w,17.53,15.97,s,y,w,u,w,t,p,,d,a
p,15.22,f,g,o,f,e,,w,16.87,17.46,s,y,w,u,w,t,p,,d,u
p,15.49,f,h,e,f,e,,w,17.45,16.64,s,y,w,u,w,t,p,,d,a
p,12.16,x,h,e,f,e,,w,17.46,17.51,s,y,w,u,w,t,g,,d,u
p,16.04,f,h,o,f,e,,w,17.39,17.19,s,y,w,u,w,t,p,,d,u
p,16.31,f,h,e,f,e,,w,17.15,17.05,s,y,w,u,w,t,g,,d,u
p,15.35,f,g,o,f,e,,w,17.89,18.21,s,y,w,u,w,t,g,,d,u
